Seq,Phase,Scope,Trigger / Rule,Kind,Fires when,Defined in,What happens — side effects & details,Assessment,To-do (edit me)
51,"4 · /project ritual","Estate ↔ repo","Step 4 lens fan-out","Prompted: contract + agents","After interrogation","project contract §4; `LENSES.md`; `.claude/agents/project-lens.md`","Fan out project-lens agents in a SINGLE message (concurrency); each carries repo path, one lens, intent+logic+constraints, open ticket titles. Scope by run type (first run: every lens with substance, say which dropped and why; intent changed: lenses intent touches + diff domains; unchanged: diff only). Posture shifts weighting. Lens contract: read-only; evidence required (path:line or client`s words); a gap only matters if intent wants it; constraints from the register never invented; stay in lane; `already ticketed as <epic>/<slug>` is not a finding; market lens alone gets web access; plaintext credential = P0 always.","Good — the roster-as-editable-file (change LENSES.md, no command edit) is clean; drop-with-reasons is honoured in practice (dnd re-run).","—"
52,"4 · /project ritual","Estate ↔ repo","Step 5 reconcile — synthesis is the command`s","Prompted: contract","After lenses return","project contract §5","Dedupe (keep strongest evidence); drop what`s covered; rank by what moves the project (blocks launch/revenue > harms users > explicitly asked > rest; `if a third is P0, none of it is`); map every finding to a wanted feature or breached constraint (else new feature row or noise — say which). Then existing stubs vs intent: untouched / amend-in-place with why / `git mv` to `_done/` with `> Dropped:` / cut missing. Never delete, never reuse slugs. Legacy repos get their migration here (recut survivors, `> Recut as <epic>/<slug>` lines).","Good — the ranking rule and the finding→intent mapping are real quality filters, visible in the agorasim stubs` `sources:` lines.","—"
53,"4 · /project ritual","Estate ↔ repo","Step 6 write + the human gate","Prompted: contract","After Jamie approves the plan","project contract §6 + Gate","GATE FIRST: Jamie sees the proposed cut BETWEEN 5 and 6 (epics with build orders: sequence·slug·title·priority·size·lens; triage; amendments; drops with reasons) — breakdown.md is the review surface; editing it and asking for a re-cut steers. Then write: register per PROJECT.md (append-only decisions with supersede chains, features table pointing at epic paths, run-log row with date+HEAD); the cut per TICKETS.md (breakdown + sequenced stubs, `- sources:` citing evidence, standalone Prompt in intake repos). Everything stays UNCOMMITTED unless Jamie says push (ticket-only → main).","Good on paper; in practice the gate ran breakdown-level only for the 57 (Jamie, round 2) and stubs go largely unread after — the single human filter before an agent executes. Audit section closes the loop (register/board/code agree; sequences contiguous; prompts standalone).","Report §4 prose: make breakdowns carry the scope argument; wrong-landing telemetry stub convention."
54,"5 · /day ritual","Estate ↔ repo","Step 1 survey — scripts report, human verifies","Prompted: contract + programmed scripts","`/day` or `/day wrap`","`workspaces/deliver/stages/day/CONTEXT.md` §1; `tickets-board.sh`; `ticket-hygiene.sh`","Run the board, show it. Run hygiene, show findings. The scripts report; the session verifies and fixes WITH JUDGMENT — never bulk-applies findings.","Good separation (deterministic report / judged fix). Currently theoretical: /day has never run (row 43).","—"
55,"5 · /day ritual","Estate ↔ repo","Step 2 reconcile — the board must be true before it`s useful","Prompted: contract","During any /day","day contract §2","possibly-done: read the named commit`s subject — genuine work merged → `git mv` stub to `_done/`; docs/register commits naming a slug are noise; ambiguous → batch and ask Jamie. Completed epics archive whole. Stale today entries removed; a surviving plan is re-argued, not silently carried. Lifted blockages: remove the `- blocked:` line (ask when unsure). Legacy flagged repos noted for /project — never mass-converted here. Active-but-empty repos: read the log, OFFER to cut from history via ticket-scout — batch, never create unasked.","Good — every reconcile action has an evidence rule and an ask-path. The `possibly-done` commit-subject heuristic is honest about being a heuristic.","—"
56,"5 · /day ritual","Estate","Step 3 plan → `today.md` wholesale, ≤10","Prompted: contract","Bare `/day`","day contract §3; TICKETS.md today rules","Ask what tomorrow is for, grounded in candidate order: P0s → stalled runs → possibly-unblocked → each epic`s next (lowest unmet sequence) → longest-waiting P1 triage → active-no-tickets repos. Write `.icm/today.md` WHOLESALE (replacing = clearing yesterday); format `- <repo> · <epic>/<slug> — <title>`; cap 10 estate-wide; if Jamie wants more, push back once (`a diluted list is no list`) then obey. Week mode: walk priorities/build orders; kill dead stubs with `> Dropped:` on his call.","Well designed, never executed. The flag`s consumers (board strip, session hook, hygiene checks) all work and all read an empty file.","Decide: ignite via board launcher, or retire the flag honestly if unused after a month (report §8)."
57,"5 · /day ritual","Estate ↔ repo","Step 4 wrap — bank and cut","Prompted: contract","`/day wrap` (or any session end, via the skill + Stop hook)","day contract §4; ticket-craft; wrap-reminder hook","Bank: merged stubs → `_done/`; completed epics archive whole. Cut: anything discovered/started/half-done/promised becomes a stub (its epic, a new single-stub epic, or triage with lane + standalone Prompt in intake repos). Never a loose TODO. Trim today.md of finished entries. NOTE THE DRIFT: off-stub work said plainly in the summary — how off-ticket work gets caught next time.","Good — `cutting is part of stopping` is the estate`s best anti-entropy rule, and the Stop hook (row 96) enforces the reminder mechanically.","—"
58,"5 · /day ritual","Estate ↔ repo","Step 5 ship — pushing is publishing","Prompted: contract","End of any /day","day contract §5","Per changed repo: commit ONLY `.icm/` paths on main (`Plan: …` / `Wrap: …`), stage explicitly (never `git add -A`), push. The board reads main — an unpushed stub does not exist. Rejected push: one `pull --rebase` retry, else report and move on. Never force-push. Jamie sees the per-repo ticket diff before commit.","Good — the publish semantics are stated three times (contract, skill, hook) and consistent everywhere.","—"
59,"6 · /icm-check ritual","Estate ↔ repo","Check → populate → review → report","Prompted: contract + programmed script","Jamie runs /icm-check","`workspaces/deliver/stages/conformance/CONTEXT.md`","1 Check: run icm-check.sh, show report incl. drift lines. 2 Populate: `--fix` if gaps (creates only missing, NEVER hand-create alongside; profile gaps grouped; legacy reported never converted; drift proposed as deliberate-vs-rot per repo — Jamie rules). 3 Review each repo`s `.claude` + Layer 0 via BATCHED Explore subagents (no node_modules/app source — config review not code audit); assess fit-for-THIS-repo, never cross-repo consistency. 4 Report per repo, one line per suggestion; suggest only, change nothing beyond --fix. Never commit/push — seeds stay uncommitted for Jamie per repo.","Good — the ritual`s never-overwrite/never-commit discipline matches the script exactly. Step 3 still says `until the rollout completes` and defers to `estate-rollout` — stale (report F3).","Rollout language edit (cut `doc-truth` 3)."
60,"7 · Deal pipeline","Deal","Deal folder + DEAL.md spine conventions","Prompted: contract","Any deal work","`workspaces/deals/README.md`","One folder per relationship, kebab-case name, artifacts numbered 01–07 as stages run (a folder with only 01 is young, not broken). DEAL.md: Ladder row (mirror only — Neon authoritative), Stage row (the next stage to run — /client`s dispatch key), Shape/Value/Source rows, dated Log lines for every event that matters. Adopted deals: extra Adopted row, true stage, provenance per artifact, pre-system stages stay honest gaps; already-delivered relationships get NO folder (doorway is /project). Lost deals keep folder + log; returning leads reopen the same folder; slugs never reused.","Good — the Stage row as machine-readable dispatch is elegant (self-landing /client). All ten live folders conform.","—"
61,"7 · Deal pipeline","Deal","01_intake — qualify + first reply","Prompted: contract","New/adopted deal at stage 01","`sell/stages/01_intake/CONTEXT.md`","Create folder if missing; write 01-intake.md: who/where-from/ask in THEIR words + qualification verdict CITING THE CRITERION (not a vibe); draft reply (no price, one concrete next step) or outbound message per outreach playbook; declines get kind drafts too. Gate: Jamie edits, SENDS HIMSELF, moves rung new→talking (or lost+archive). Audit: verdict cites criterion; draft asks for conversation not commitment; DEAL.md and dashboard rung agree.","Good bones. One lie inside: the contract repeats the phantom `mints a Reply-within-2-days todo` claim from CLIENTS.md — nothing implements it (report F1).","Remove/fix the todo claim in both files (cut `doc-truth` 2)."
62,"7 · Deal pipeline","Deal","02_discovery — learn enough to scope honestly","Prompted: contract","Stage 02","`sell/stages/02_discovery/CONTEXT.md`; references `discovery-interview.md` + `discovery-questions.md` (question bank with stable IDs + [BLOCKER]/[LAWYER] tags)","Before: 02-discovery-prep.md — questions selected BY ID from the bank, short-list-first ordering, open [BLOCKER]s flagged. After: Jamie`s raw notes → 02-discovery-notes.md (their words for the need, done-looks-like, constraints, answered-by-ID, ASSUMPTIONS FLAGGED as recommended-and-nodded-to not decided, open blockers at top, [LAWYER] items). Complex deals open with a TL;DR verdict (the berceo shape). Gate: Jamie holds the conversation; his edits to the notes are the truth quoted downstream. Billy`s async pivot shows the adaptable form: questions became two forms in the client repo.","Good — the ID`d question bank + assumption-flagging are the strongest pre-sale mechanics in the estate (its own claim `strongest pre-sale work` is, for once, true).","—"
63,"7 · Deal pipeline","Deal","03_quote — scope·shape·number before prose","Prompted: contract","Stage 03","`sell/stages/03_quote/CONTEXT.md`; `knowledge/pricing.md`; `knowledge/terms.md`","HARD REFUSAL: will not run past an open [BLOCKER] — sends the deal back. 03-quote.md: Scope traceable line-by-line to discovery notes + explicit Not-included fence; Shape (fixed/retainer/in-kind per pricing table); Number from the band (sites €1.000–2.500) or the method (apps/AI: scope → price against PAST DEALS as precedent) — floor €500, every deviation named with reason; terms deltas named; Options where honest (smallest-honest-version vs full ask). Audit: every scope line traces; number matches band or names deviation — silence is a fail; below-floor → smallest-honest-version or decline, never a quiet yes. Gate: Jamie approves (the money decision) + records value/shape on the dashboard deal card.","Good — the traceability + named-deviation rules make quotes auditable; alix`s €7,500 quote exercised the no-precedent path and documented it.","—"
64,"7 · Deal pipeline","Deal","04_proposal — present, never renegotiate","Prompted: contract","Stage 04","`sell/stages/04_proposal/CONTEXT.md`; `references/proposal-template.md`; `knowledge/voice.md`","04-proposal.md per template: their problem in their words, what they get, cost, next steps — everything traces to the quote, invents nothing. [LAWYER] tags carried VISIBLY (equity/rev-share/liability never smoothed into prose). PDF rendered from markdown (pandoc/house tooling/pdf skill) — markdown canonical, PDF a build artifact, regenerated never edited. Revisions: changes land in 03-quote.md FIRST, then re-render. Gate: Jamie reads as the client will, sends himself, logs the date; won → rung client + continue 05; lost → archive + one honest line why. Audit: quote match is exact (mismatch blocks the render); a stranger could read it alone; no [LAWYER] item dropped.","Good — the quote-first revision rule prevents the classic drift between negotiated and documented. Casey`s styled /quote page shows the template flexes.","—"
65,"7 · Deal pipeline","Deal ↔ dashboard","05_onboarding — answers, access, money mechanics","Prompted: contract","Stage 05 (never yet run in-system)","`start/stages/05_onboarding/CONTEXT.md`; `references/onboarding-checklist.md`","05-onboarding.md: one row per item needed·asked·received. Draft the welcome+asks message (Jamie sends). ACCESS AS EXISTING, NEVER VALUES (`registrar access via password manager`) — a credential in the folder is a P0. Money: deposit invoice raised in Stripe, paid, stripe_customer_id linked. Timeline promises start only when materials-received + deposit-paid rows are green — say so if asked early. Gate: Jamie sends questionnaire from the dashboard Forms card + raises the invoice.","Good design, one broken input: the Forms card reads jamienisbet `.icm/onboarding/` — specified, cited (JN-021), and EMPTY (README links a dead project-intake.md). First deal to reach 05 hits it (report F2).","Write project-intake.md or re-scope the contract to per-client forms (cut `doc-truth` 2 / jamienisbet `house-intake-form`)."
66,"7 · Deal pipeline","Deal ↔ dashboard ↔ repo","06_repo — the delivery repo, made the house way","Prompted: contract + programmed app","Stage 06","`start/stages/06_repo/CONTEXT.md`; dashboard `createClientRepo` + `lib/icm-scaffold.ts`","Confirm no existing repo (returning client → adopt, never duplicate). Jamie creates via dashboard (Connect/create repo — also sets `github_repo`, clearing the conversion gap and putting the repo on the board). Scaffold seeds `.icm/` tree + root rails from icm-board`s live template over the contents API — stores the repo pointer BEFORE seeding (failure never costs the link); skips CLAUDE.md deliberately (Layer 0 never templated; an importer without AGENTS.md would resolve to nothing); cannot seed `.claude/` (contents API writes 100644 only — executables impossible; tracked by jamienisbet stub scaffold-claude-assets). Then local: clone under projects/, `icm-check.sh --fix`, write 06-repo.md.","Good — the monopoly (dashboard creates, never by hand) is stated in three places and respected by /project`s STOP guard. Two live defects: the seeded prefix note teaches the RETIRED PREFIX-NNN convention (stub scaffold-prefix-note-stale — report F8); `start/CONTEXT.md` + `deals/README.md` still say `prefix registered`.","Fix the two doc lines (cut `doc-truth` 4); scaffold fixes already stubbed in jamienisbet."
67,"7 · Deal pipeline","Deal ↔ repo","07_kickoff — hand over to the delivery machine","Prompted: contract","Stage 07 (never yet run in-system)","`start/stages/07_kickoff/CONTEXT.md`; `references/kickoff-checklist.md`","Copy durable docs (proposal, discovery notes) into client repo `.icm/docs/` PROVENANCE-STAMPED (`from icm-board deal <slug>, dates`) — deal folder keeps originals. Run /project FIRST RUN: register from the deal`s real documents; 03-quote scope becomes the Features table`s opening truth; surviving [BLOCKER]s become open questions/decision tickets. First tickets cut by /project, not here. Write 07-kickoff.md incl. the LESSONS row (what sell/start got wrong → edit-source amendments; `nothing to amend` valid, blank invalid). Gate: Jamie marks work_started_at (deliberately distinct from deal-agreed); ConvertFlow gaps clear. Audit: every quote scope line visible in the repo as feature row or ticket.","Good — the only doorway between deal and machine, and the promise-continuity audit (quote lines all land) is the right invariant. Unproven: no deal has crossed it yet.","First real 07 run (likely casey) is the start-workspace proof — watch the lessons row."
68,"8 · Repo work loop","Every repo","Positional status — the state machine","Prompted: contract (read programmatically by 3 surfaces)","Continuous — every stub`s location IS its state","TICKETS.md § Status is positional; parsed by tickets-board.sh, tickets.ts, hygiene","open = in a live epic/triage · next = lowest unmet sequence, unblocked · in-flight = runs/<slug>/ exists (pipeline) or claude/<slug> PR open (intake) · waiting = depends-on not yet done (board shows `Waiting on`) · blocked = `- blocked: <reason>` line (remove when lifted) · today = listed in icm-board today.md · done = in `_done/` · dropped = `_done/` + `> Dropped:` line. No Status field, no vocabulary, nothing to desync.","Good — the doctrine`s masterstroke: state cannot contradict the file system, and it generated the event log for free.","—"
69,"8 · Repo work loop","Estate ↔ repo","Pick-up route A — board deep link (one tap)","Programmed: app","Jamie taps a ticket row / batch swipe on the phone board","`lib/tickets.ts` newSessionUrl/claudeTerminalUrl","Builds `https://claude.ai/code/new?q=<prompt>&repo=<owner/name>&mode=plan` (documented universal link; phone hands to the app) or `claude-cli://open?repo=…&q=…` (documented terminal scheme; prompt sits flagged-external until Enter). ALWAYS `mode=plan` — stubs are picked up by planning first. Payload = the `## Prompt` section only, frozen at tap time; >4,500 encoded chars → link suppressed, Copy-prompt fallback (cap never hit: estate max 1,483). THE HUMAN SENDS — this is what keeps D13`s read-only true.","Good — documented-URLs-only discipline (the undocumented predecessor was abandoned, reasons in comments). Weakness: frozen payload can`t see a recut; pointer-verb payload fixes it (report §6b).","Deep-link pointer payload (jamienisbet cut `board-queries` 3)."
70,"8 · Repo work loop","Estate ↔ repo","Pick-up route B — Copy prompt","Programmed: app","Jamie copies from the board, pastes anywhere","board UI + tickets.ts prompt extraction","Uncapped; works for any harness including OpenCode (`opencode <dir> --prompt '…'` or paste in TUI). The only board→OpenCode bridge that exists today.","Good fallback; becomes the primary OpenCode handoff until/unless a copy-as-opencode affordance ships.","Copy-as-opencode one-liner (jamienisbet cut `board-queries` 3)."
71,"8 · Repo work loop","Every repo","Pick-up route C — terminal-first, name the stub","Prompted: convention (no tooling)","Jamie opens a session at the repo and says `pick up <epic>/<slug>`","Nothing — this is the missing verb","Session must improvise: find the stub, read it, infer the contract, check dependencies by hand (the best stub prompts embed the check manually — dnd wizard-frame). No resolver answers `what`s next` in intake repos; sustentus`s /pipeline new is the only implementation outside the board.","The named gap (report §6b) — Jamie uses this route today (round 1) and it is the least supported of the three.","`/next` verb: logic in ticket-craft + thin commands both harnesses (cut `pickup-verb` 1–2)."
72,"8 · Repo work loop","Every repo","The `## Prompt` contract + synthesized fallback","Prompted: contract + programmed fallback","Authoring any stub; board rendering any stub","TICKETS.md; ticket-craft; `tickets.ts` synthesizedPrompt (line 741); hygiene `no-prompt` lint","Canonical rule: must stand alone pasted into a fresh session at repo root; required in intake repos (`the whole pick-up contract`), optional under /pipeline; `## Agent prompt` alias accepted (remi-ai). Reality: board synthesises `Read <path> in <repo>… follow that repo`s own conventions (AGENTS.md and .icm/ own the rules)` when absent, so pick-up degrades rather than fails. TICKETS.md carries both statements (required AND synthesised-when-absent).","Internally contradictory as written (report F10c). The synthesised pointer is secretly the better design — it IS the verb — and the running system already prefers it.","Rewrite the rule per report §4 prose (cut `pickup-verb` 3)."
73,"8 · Repo work loop","Every repo","Triage parking — never widen a PR","Prompted: contract + skill","Anything found mid-work that isn`t the current work`s","TICKETS.md § Triage; ticket-craft; pr-conventions; pipeline Build step 2 + Release stop-list","Park as one small stub in `.icm/intake/triage/` (`- lane: bug|tweak|chore`, `- found-by: <source> · <date>`) in a minute and move on. Never absorb into the PR; never lose in conversation. Release-stage version: every non-blocking finding is parked and the merge PROCEEDS.","Good — consistently stated in four places; visibly used (agorasim triage, jamienisbet parked finds).","—"
74,"8 · Repo work loop","Every repo","Branching + commit conventions","Prompted: skill","Every commit/branch/push in any estate repo","`pr-conventions` skill; day contract §5","Code → PR on `claude/<slug>` branch, never straight to main. Ticket-only commits (only `.icm/` paths) → straight to main, message `Plan: …` / `Wrap: …`. Stage paths EXPLICITLY, never `git add -A`; untouched dirty files left strictly alone. Messages: what+why in the first line, NO MODEL IDENTIFIERS. Never rewrite shared history; never force-push main (the global hook also asks).","Good — and the `ticket-only → main` carve-out is what makes planning data flow to the board without PR ceremony.","—"
75,"8 · Repo work loop","Every repo","CI gate + merge authority","Prompted: doctrine + AUDIT ruling","Every push; every merge decision","pr-conventions; AUDIT `Merging answered` (2026-08-27); pipeline ci.md formalisation","Push → read the checks; a red check is the task; PENDING is a third value, never green. Merge: Claude MAY merge — CAUTIOUSLY: green CI + a PR whose scope Jamie has seen; it widens nothing else (no outbound, no dashboard writes, no gate ticking).","Good — the merge ruling is documented with its limits. Two dormant repos have standing-red main (cafe-jardim, collabimmo — their own stubs say a real failure is indistinguishable there), which quietly suspends `CI is truth` locally.","The two lint-red-on-main stubs are the fix; P2 by their own priority."
76,"8 · Repo work loop","Every repo","Finishing — the stub moves in the PR that ships the work","Prompted: skill + contract","Completing any stub`s work","pr-conventions § Finishing; TICKETS.md working rules","The finishing PR `git mv`s the stub to its epic`s (or triage`s) `_done/`. Epic completes → archived whole. Board sees it on merge to main. This move is what writes the R100 event log.","Good — single-PR atomicity of work+state is the design`s hinge; the Stop hook (row 96) is its safety net.","—"
77,"8 · Repo work loop","Every repo","Stop hook check 1 — dirty `.icm/`","Programmed: hook (Stop)","Session tries to stop with uncommitted `.icm/` changes","`.claude/hooks/wrap-reminder.sh` (canonical)","Blocks the stop ONCE (honours stop_hook_active — can never loop): `the board reads main, so unpushed ticket work does not exist — wrap per the estate discipline… or tell Jamie it is being left deliberately`. Never commits anything itself.","Good — asks-never-acts, exactly one nag, and the deliberate-leave escape hatch is honest (this analysis used it).","—"
78,"8 · Repo work loop","Every repo","Stop hook check 2 — work shipped, stub left open","Programmed: hook (Stop)","Stopping on a branch with non-.icm commits whose `claude/<slug>` name (or a legacy ID in a commit subject) matches an open stub no commit touched","wrap-reminder.sh second half","Deliberately narrow: .icm-only commits are admin, not work; a branch that touched the stub file at all buys silence; trailing -hash segments trimmed from branch slugs. Blocks once: move the stub in this branch or tell Jamie why it stays open. Silent outside a repo / without origin/main.","Good — closes the exact historical failure (`tickets drifted open while their work merged`) at the moment it`s cheapest to fix. Only wired in 11 of 23 repos.","Wire per repo where wanted (with row 36)."
79,"8 · Repo work loop","Every repo","Dormant marker semantics","Prompted: contract + programmed silencing","Parking or waking a repo","TICKETS.md § Dormant; hygiene honours it","`touch .icm/dormant` (empty file) parks a repo: hygiene`s `off-ticket` silenced; EVERY other check still runs (dormancy hides noise, never evidence). Waking = `git rm`. A dormant repo that gains a stub DROPS THE MARKER IN THE SAME COMMIT — a repo, never a ticket, is dormant.","Good rule, unenforced: cafe-jardim + collabimmo sit dormant-with-open-stubs today and no lint catches it (report F4).","5-line hygiene check + two marker-drop commits (cut `hygiene-holes` 1)."
80,"8 · Repo work loop","Every repo","Legacy PREFIX-NNN handling","Prompted: contract + programmed parsing","Encountering pre-2026-08-28 flat tickets","TICKETS.md; tickets-board.sh + tickets.ts legacy parsers; ticket-craft","Flat tickets parse under old rules (H1 `# ID · title`, metadata table, Status row) side-by-side with stubs; reported as `legacy-unmigrated`; NEVER converted mechanically — migration is /project`s judgment work (recut survivors with `> Recut as` lines). Left alone by every other task.","Good transition machinery — now nearly vestigial (D14 purged the population; only parser + warnings remain, correctly kept for stragglers).","—"
81,"9 · Pipeline profile","Pipeline repos","Profile declaration + spine seeding","Prompted: config + programmed seeding","Jamie edits `.icm/CONTEXT.md` to `- profile: pipeline` then runs `icm-check.sh --fix`","PIPELINE.md; icm-check PIPELINE_* lists","Seeds: `stages/01_define|02_build|03_release/CONTEXT.md`, `lanes/bug|tweak|chore/`, `_shared/{github,ci,stage-preamble}.md`, `runs/README.md`, 5 scripts (chmod +x), `/pipeline` skill, PR template with both gate anchors. Declaring is Jamie`s act; the fix never upgrades.","Sound design; ZERO instances exist (remi-ai pending its migration decision) so the templated assets have never been exercised — expect first-use friction (report §5).","No action until remi-ai decides; don`t extend the profile before first tenant."
82,"9 · Pipeline profile","Pipeline repos","`/pipeline` router — folder-order discovery","Prompted: skill","`/pipeline <subcommand>` in a pipeline repo","`template/claude-pipeline/skills/pipeline/SKILL.md`","Parse subcommand → load the matching stage/lane contract and follow it. Stages discovered by `ls .icm/stages/` → `NN_<name>`; adding a stage = folder + routing row, NEVER a new skill. Adopting stages (build/release/lane-resume) run the shared preamble first. CI read one way everywhere (`ci-status.sh`). Gates read, never ticked; after each stage say what`s done + which `/pipeline <next>` awaits the human.","Good — the harness-neutral router design the report recommends generalising (§6b): most of it is a contract a human or any model can follow.","—"
83,"9 · Pipeline profile","Pipeline repos","`/pipeline new` resolution — the pick-up verb, spine edition","Prompted: skill","`new` with request / stub-path / bare-name / no argument","pipeline SKILL § Resolving new","Candidate set = `.icm/intake/*/*.md` minus breakdowns, `_done/`, and ALL of `triage/` (lanes consume triage; new never does). Bare-name: exact match → use; substring → one=use+say, several=ask, none=list-and-ask (never treat as fresh request); triage match → redirect to the lane. NO ARGUMENT: group by epic (one → batch; several → ask; none → say empty + suggest scope) → pick lowest `sequence: n of m` → dependency check (`_done/` means SPUN OUT not shipped: unmet dep → warn out-of-order; met dep → confirm its run actually MERGED before offering) → ANNOUNCE THE PICK AND STOP for confirmation (opening a run+PR is a real side effect) → hand to Define, which pre-seeds the spec and `new-run.sh --stub` consumes the stub.","Excellent — the most complete pick-up procedure in the estate, incl. the subtle spun-out-vs-shipped distinction. This is the template for `/next` (report §6b).","Adapt (not adopt) for intake repos: same resolution, stop-at-confirmation, then work the stub directly — no run ceremony."
84,"9 · Pipeline profile","Pipeline repos","Define stage + `new-run.sh` side effects","Prompted: contract + programmed script","`/pipeline new|define`","`icm-pipeline/stages/01_define/CONTEXT.md`; new-run.sh","Define is the LAST stage that gathers requirements (sharp questions until nothing ambiguous; deliberate deferrals under Out-of-scope, never left open). Writes spec to `runs/<slug>/01_define/output/spec.md`; validates STRUCTURALLY by script (`validate-spec.sh` → OK/INVALID). Then `new-run.sh <slug> --summary … --stub …`: commits the run, consumes the stub into `_done/`, pushes, opens the ONE draft PR (hard-refuses if run.md already records one). Slug = universal key (folder, stub, `claude/<slug>` branch, PR). Targeted greps ok; wider codebase is Build`s — Inputs are the context budget.","Good — script-not-eyeball validation and the one-PR invariant remove the two classic drift sources.","—"
85,"9 · Pipeline profile","Pipeline repos","Gate: Spec approved","Prompted: contract + human","Owner ticks the anchored checkbox in the PR body","PR template `<!-- gate:spec-approved -->`; github.md","Build hard-stops until `[x]`. Anchored comment = parseable regardless of wording. Missing anchor means not-required (lane PRs carry only ready-to-merge); a spine PR missing it is malformed — fix the body first.","Good.","—"
86,"9 · Pipeline profile","Pipeline repos","Build stage","Prompted: contract","`/pipeline build <slug>`","`stages/02_build/CONTEXT.md`","Preamble (resolve-or-STOP) → read gate → implement EXACTLY the acceptance criteria (no drive-bys; found work → triage stub; ambiguous WHAT → STOP back to Define) → write `02_build/output/notes.md`, commit run files with code, push → `ci-status.sh` until GREEN (RED is Build`s to fix; PENDING re-run — not-yet-red ≠ green) → flip PR draft→open, tick nothing, tell the owner what to test.","Good — the draft→open flip as the machine`s hand-off signal is clean; the owner`s tick stays the only advance.","—"
87,"9 · Pipeline profile","Pipeline repos","Gate: Ready to merge (attestation semantics)","Prompted: contract + human","Owner ticks after their own testing","PR template; PIPELINE.md § Gates","The tick ATTESTS the owner`s manual testing — Release never re-asks for manual checks. This is what lets Release be fast without being reckless.","Good — attestation framing is the right contract between human and machine.","—"
88,"9 · Pipeline profile","Pipeline repos","Release stage — three stop reasons only","Prompted: contract","`/pipeline release <slug>`","`stages/03_release/CONTEXT.md`","Preamble → confirm Build finished (notes.md exists, PR open). ONLY THREE things may stop the merge: blocking CI failure; security-critical finding INTRODUCED BY THIS DIFF; deploy-breaking config (missing env var, migration without working down). Everything else → triage stub + MERGE PROCEEDS (`a ticked box plus a green factory is the authorisation; do not manufacture reasons to hold it`). Squash-merge once; run → `runs/_done/`; epic archives per TICKETS.md.","Excellent — the enumerated stop-list is the strongest anti-perfectionism device in the estate; most review processes never dare write it down.","—"
89,"9 · Pipeline profile","Pipeline repos","Fast lanes: bug / tweak / chore","Prompted: contract","`/pipeline bug|tweak|chore <report|stub>`","`lanes/*/CONTEXT.md`","No spec, no spec gate — one PR, one Ready-to-merge gate. Bug: REPRODUCE FIRST (can`t reproduce → STOP and report, don`t fix blind); fix cause not symptom, minimal diff. From a triage stub: pre-seeds the report, `new-run.sh --stub` moves it to `triage/_done/`. Scope grows or needs product decisions → STOP, route to the spine.","Good — the lane/spine split with an explicit escalation rule keeps small things small.","—"
90,"9 · Pipeline profile","Pipeline repos","Shared invariants: github.md / ci.md / stage-preamble.md","Prompted: contract + programmed scripts","Every pipeline stage","`_shared/*.md`; `resolve-run.sh`; `ci-status.sh`","One PR per run (script-refused). PR body is a ONE-WAY projection of spec.md (edit file → reconcile file→PR, never backwards; spec linked never copied). NEVER subscribe to PR activity — exactly two reads: one blocking ci-status call per push + one review-comments read at Release. ci.md: check runs AND commit statuses (both surfaces); newest attempt wins; head re-read each pass; classification by rule not list (advisory suffix never blocks; everything unknown blocks by default); `PIPELINE_REQUIRED_CHECKS` prevents empty-checks-as-green. Preamble: `resolve-run.sh` READY or STOP — never recreate a run/branch by hand (fabricates an unspecced run, orphans the real one).","Excellent — these three files encode more hard-won CI/PR truth per line than anything else in the estate.","—"
91,"10 · Sustentus (exempt)","Sustentus","Four stages + approve substage (the pipeline-full front)","Prompted: contract (its own)","Sustentus /pipeline flow","`sustentus/.icm/stages/01_scope(+approve)/02_define/03_build/04_release`","01_scope: commit the business`s user story VERBATIM, interrogate every ambiguity (no spec, no code, no feature PR). approve substage: settle answers into one agreed `scope.md` then cut the intake batch from it (`an answered question sheet is not a scope`); interrogation answers recorded in stubs as rulings that BIND Define. Then define→build→release as the template (which was extracted from here).","Good — the front stages are what pipeline-full adds for a repo with a business author; per D12, extracted only when a second such repo exists.","—"
92,"10 · Sustentus (exempt)","Sustentus","CI close-out + announce (post-merge factory)","Programmed: CI","PR closed touching `.icm/runs/**`","`sustentus/.github/workflows/release.yaml`; `.icm/scripts/close-out.sh`","announce job: reads the merge commit`s own changelog mdx → posts title/summary/URL to Slack #product-update; REFUSES placeholder frontmatter. close-out job: archives the merged run out of `.icm/` to `apps/docs/archive/pipeline-runs/` (206 runs to date); branch-protection fallback opens `chore/close-out-<slug>` itself (exit 4 BLOCKED); failures post to #alerts. The router encodes the boundary: `a run ends at the merge — the machinery after it is CI`s; no stage runs close-out.sh by hand`.","Good — the canonical D11 example: CI acting only after a human-authorised merge is factory. 206 archived runs is the throughput proof the estate points at.","—"
93,"10 · Sustentus (exempt)","Sustentus","Label projection + advisory checks","Programmed: CI + script","Every push touching `.icm/runs/**`","`pipeline.yaml` labels job → `project-labels.sh`; spec-check/intake-check/release-check jobs","Labels are a PURE FUNCTION of spec header + stage, projected file→PR wholesale (PUT replaces; one direction only). Diff computed `origin/BASE...HEAD` (a real bug — PR #917 labelled from five untouched runs — is documented in the header). Three advisory jobs write summaries and ALWAYS exit 0.","Good — one-way projection + documented failure history; the advisory-exit-0 pattern prefigures D15.","—"
